,HEALTH ANALYTICS DASHBOARD,,,,,,,,,,,Compulsion Type,patient_count,obs_score,,month,patient_count
,,,,,,,,,,,,Ordering,285,20.4,,01-11-2013 00:00,9
,Daignosis MoM,,,,,,,,,,,Praying,286,20.08,,01-12-2013 00:00,9
,,,,,,,,,,,,Checking,292,19.99,,01-01-2014 00:00,13
,,,,,,,,,,,,Counting,316,20.41,,01-02-2014 00:00,13
,,,,,,,,,,,,Washing,321,19.4,,01-03-2014 00:00,15
,,,,,,,,,,,,,,,,01-04-2014 00:00,12
,,,,,,,,,,,,,,,,01-05-2014 00:00,11
,,,,,,,,,,,,Ethnicity,patinet_count,obs_score,,01-06-2014 00:00,9
,,,,,,,,,,,,African,324,19.76,,01-07-2014 00:00,11
,,,,,,,,,,,,Asian,386,20.32,,01-08-2014 00:00,10
,,,,,,,,,,,,Hispanic,392,20.28,,01-09-2014 00:00,12
,,,,,,,,,,,,Caucasian,398,19.79,,01-10-2014 00:00,19
,,,,,,,,,,,,,,,,01-11-2014 00:00,18
,Compulsion Type,,,,Ethnicity,,,,,,,,,,,01-12-2014 00:00,14
,,,,,,,,,,,,Obsession Type,patient_count,obs_score,,01-01-2015 00:00,16
,,,,,,,,,,,,Hoarding,278,21.01,,01-02-2015 00:00,10
,,,,,,,,,,,,Symmetry,280,19.67,,01-03-2015 00:00,12
,,,,,,,,,,,,Religious,303,19.23,,01-04-2015 00:00,9
,,,,,,,,,,,,Contamination,306,19.67,,01-05-2015 00:00,12
,,,,,,,,,,,,Harm-related,333,20.65,,01-06-2015 00:00,14
,,,,,,,,,,,,,,,,01-07-2015 00:00,12
,,,,,,,,,,,,,,,,01-08-2015 00:00,14
,,,,,,,,,,,,Gender,Patient_count,avg_obs_score,,01-09-2015 00:00,11
,Obsession Type,,,,Gender,,,,,,,Female,747,20.2,,01-10-2015 00:00,17
,,,,,,,,,,,,Male,753,19.9,,01-11-2015 00:00,20
,,,,,,,,,,,,,,,,01-12-2015 00:00,23
,,,,,,,,,,,,,,,,01-01-2016 00:00,10
,,,,,,,,,,,,,,,,01-02-2016 00:00,11
,,,,,,,,,,,,,,,,01-03-2016 00:00,14
,,,,,,,,,,,,,,,,01-04-2016 00:00,14
,,,,,,,,,,,,,,,,01-05-2016 00:00,7
,,,,,,,,,,,,,,,,01-06-2016 00:00,15
,,,,,,,,,,,,,,,,01-07-2016 00:00,13
,,,,,,,,,,,,,,,,01-08-2016 00:00,21
,,,,,,,,,,,,,,,,01-09-2016 00:00,15
,,,,,,,,,,,,,,,,01-10-2016 00:00,18
,,,,,,,,,,,,,,,,01-11-2016 00:00,14
,,,,,,,,,,,,,,,,01-12-2016 00:00,11
,,,,,,,,,,,,,,,,01-01-2017 00:00,16
,,,,,,,,,,,,,,,,01-02-2017 00:00,15
,,,,,,,,,,,,,,,,01-03-2017 00:00,10
,,,,,,,,,,,,,,,,01-04-2017 00:00,11
,,,,,,,,,,,,,,,,01-05-2017 00:00,14
,,,,,,,,,,,,,,,,01-06-2017 00:00,22
,,,,,,,,,,,,,,,,01-07-2017 00:00,6
,,,,,,,,,,,,,,,,01-08-2017 00:00,14
,,,,,,,,,,,,,,,,01-09-2017 00:00,16
,,,,,,,,,,,,,,,,01-10-2017 00:00,12
,,,,,,,,,,,,,,,,01-11-2017 00:00,11
,,,,,,,,,,,,,,,,01-12-2017 00:00,16
,,,,,,,,,,,,,,,,01-01-2018 00:00,19
,,,,,,,,,,,,,,,,01-02-2018 00:00,18
,,,,,,,,,,,,,,,,01-03-2018 00:00,25
,,,,,,,,,,,,,,,,01-04-2018 00:00,10
,,,,,,,,,,,,,,,,01-05-2018 00:00,16
,,,,,,,,,,,,,,,,01-06-2018 00:00,16
,,,,,,,,,,,,,,,,01-07-2018 00:00,20
,,,,,,,,,,,,,,,,01-08-2018 00:00,14
,,,,,,,,,,,,,,,,01-09-2018 00:00,19
,,,,,,,,,,,,,,,,01-10-2018 00:00,24
,,,,,,,,,,,,,,,,01-11-2018 00:00,11
,,,,,,,,,,,,,,,,01-12-2018 00:00,12
,,,,,,,,,,,,,,,,01-01-2019 00:00,17
,,,,,,,,,,,,,,,,01-02-2019 00:00,11
,,,,,,,,,,,,,,,,01-03-2019 00:00,16
,,,,,,,,,,,,,,,,01-04-2019 00:00,12
,,,,,,,,,,,,,,,,01-05-2019 00:00,18
,,,,,,,,,,,,,,,,01-06-2019 00:00,7
,,,,,,,,,,,,,,,,01-07-2019 00:00,17
,,,,,,,,,,,,,,,,01-08-2019 00:00,17
,,,,,,,,,,,,,,,,01-09-2019 00:00,13
,,,,,,,,,,,,,,,,01-10-2019 00:00,13
,,,,,,,,,,,,,,,,01-11-2019 00:00,12
,,,,,,,,,,,,,,,,01-12-2019 00:00,14
,,,,,,,,,,,,,,,,01-01-2020 00:00,16
,,,,,,,,,,,,,,,,01-02-2020 00:00,15
,,,,,,,,,,,,,,,,01-03-2020 00:00,16
,,,,,,,,,,,,,,,,01-04-2020 00:00,15
,,,,,,,,,,,,,,,,01-05-2020 00:00,10
,,,,,,,,,,,,,,,,01-06-2020 00:00,17
,,,,,,,,,,,,,,,,01-07-2020 00:00,13
,,,,,,,,,,,,,,,,01-08-2020 00:00,16
,,,,,,,,,,,,,,,,01-09-2020 00:00,12
,,,,,,,,,,,,,,,,01-10-2020 00:00,14
,,,,,,,,,,,,,,,,01-11-2020 00:00,11
,,,,,,,,,,,,,,,,01-12-2020 00:00,14
,,,,,,,,,,,,,,,,01-01-2021 00:00,21
,,,,,,,,,,,,,,,,01-02-2021 00:00,11
,,,,,,,,,,,,,,,,01-03-2021 00:00,13
,,,,,,,,,,,,,,,,01-04-2021 00:00,20
,,,,,,,,,,,,,,,,01-05-2021 00:00,11
,,,,,,,,,,,,,,,,01-06-2021 00:00,8
,,,,,,,,,,,,,,,,01-07-2021 00:00,8
,,,,,,,,,,,,,,,,01-08-2021 00:00,12
,,,,,,,,,,,,,,,,01-09-2021 00:00,11
,,,,,,,,,,,,,,,,01-10-2021 00:00,13
,,,,,,,,,,,,,,,,01-11-2021 00:00,11
,,,,,,,,,,,,,,,,01-12-2021 00:00,11
,,,,,,,,,,,,,,,,01-01-2022 00:00,17
,,,,,,,,,,,,,,,,01-02-2022 00:00,11
,,,,,,,,,,,,,,,,01-03-2022 00:00,19
,,,,,,,,,,,,,,,,01-04-2022 00:00,12
,,,,,,,,,,,,,,,,01-05-2022 00:00,13
,,,,,,,,,,,,,,,,01-06-2022 00:00,9
,,,,,,,,,,,,,,,,01-07-2022 00:00,16
,,,,,,,,,,,,,,,,01-08-2022 00:00,15
,,,,,,,,,,,,,,,,01-09-2022 00:00,14
,,,,,,,,,,,,,,,,01-10-2022 00:00,11
,,,,,,,,,,,,,,,,01-11-2022 00:00,2
